지점,지점명,일시,강수 계속시간(hr),10분 최다 강수량(mm),10분 최다강수량 시각(hhmi),1시간 최다강수량(mm),1시간 최다 강수량 시각(hhmi),일강수량(mm)
108,서울,2019.9.5,9.17,6,1431,18.4,1345,36.4
108,서울,2019.9.6,7.08,1.8,2059,2.1,2051,2.4
108,서울,2019.9.7,17.92,0.3,1231,0.6,1458,2.8
108,서울,2019.9.8,0.58,0,,0,,0
108,서울,2019.9.9,2.17,0,,0,,0
108,서울,2019.9.10,19,6,2140,11,443,63.2
108,서울,2019.9.11,6.67,0.9,203,2.6,14,7.6
108,서울,2019.9.12,10.5,0.4,1802,1.4,1740,3.9
108,서울,2019.9.13,0.83,0.1,,0.1,,0.1
108,서울,2019.9.14,3,0.3,1448,0.3,1358,0.3
108,서울,2019.9.22,6.33,0.1,,0.2,,0.4
108,서울,2019.10.2,14.17,1.9,359,4.6,330,23.1
108,서울,2019.10.3,8.33,0.5,23,2,11,4.6
108,서울,2019.10.5,3.13,0.5,713,0.5,702,0.6
108,서울,2019.10.7,17.17,1.2,853,5.6,853,25.4
108,서울,2019.10.25,1.08,0,,0,,0
108,서울,2019.10.28,2.87,0.7,2124,1.1,2044,1.7
108,서울,2019.10.29,0.92,0.2,,0.3,-2331,0.1
108,서울,2019.11.10,3.08,,,,,11.8
108,서울,2019.11.11,4.08,,,,,1.1
108,서울,2019.11.13,5.83,,,,,7.5
108,서울,2019.11.15,12.33,,,,,18.8
108,서울,2019.11.17,13.58,,,,,21.1
108,서울,2019.11.18,6.25,,,,,14.7
108,서울,2019.11.19,0.5,,,,,0
108,서울,2019.11.24,7.58,,,,,3.8
108,서울,2019.12.1,22,,,,,3.3
108,서울,2019.12.3,6.42,,,,,0.6
108,서울,2019.12.4,0.92,,,,,0
108,서울,2019.12.7,3.75,,,,,0.1
108,서울,2019.12.9,0.33,,,,,0
108,서울,2019.12.10,2.08,,,,,1.7
108,서울,2019.12.11,1.25,,,,,0.2
108,서울,2019.12.13,2.17,,,,,1
108,서울,2019.12.14,1.17,,,,,0
108,서울,2019.12.17,6.75,,,,,9.8
108,서울,2019.12.19,1.42,,,,,0
108,서울,2019.12.20,0.83,,,,,0
108,서울,2019.12.21,3.25,,,,,0.6
108,서울,2019.12.22,1.08,,,,,0.3
108,서울,2019.12.23,3.58,,,,,2.9
108,서울,2019.12.26,5.08,,,,,0.3
108,서울,2019.12.29,6.75,,,,,1.4
108,서울,2019.12.30,5.08,,,,,0.4
108,서울,2019.12.31,1.58,,,,,0
108,서울,2020.1.1,9.83,,,,,0.1
108,서울,2020.1.6,14.33,,,,,1.8
108,서울,2020.1.7,24,,,,,46.3
108,서울,2020.1.8,9.5,,,,,11.6
108,서울,2020.1.19,1.58,,,,,0.6
108,서울,2020.1.27,6.92,,,,,0.1
108,서울,2020.1.28,2.67,,,,,0
108,서울,2020.1.31,0.17,,,,,0
108,서울,2020.2.3,3.08,,,,,0
108,서울,2020.2.4,7.25,,,,,1.7
108,서울,2020.2.7,0.58,,,,,0
108,서울,2020.2.8,0.17,,,,,0
108,서울,2020.2.9,0.08,,,,,0
108,서울,2020.2.10,0.92,,,,,0
108,서울,2020.2.12,20.58,,,,,6.7
108,서울,2020.2.15,4.25,,,,,2
108,서울,2020.2.16,17,,,,,13.4
108,서울,2020.2.17,14.75,,,,,1
108,서울,2020.2.21,4.92,,,,,4.2
108,서울,2020.2.22,3.83,,,,,3.1
108,서울,2020.2.25,12.58,,,,,16.6
108,서울,2020.2.26,0.42,,,,,0
108,서울,2020.2.28,13.83,,,,,3.9
108,서울,2020.2.29,5.17,,,,,0.5
108,서울,2020.3.1,4.5,,,,,0.2
108,서울,2020.3.2,0.33,,,,,0
108,서울,2020.3.4,1.5,,,,,0
108,서울,2020.3.10,18.67,,,,,11.8
108,서울,2020.3.13,2.25,,,,,0.5
108,서울,2020.3.19,0.33,,,,,0
108,서울,2020.3.26,4.92,,,,,1.8
108,서울,2020.3.27,5.92,,,,,2
108,서울,2020.4.17,9.5,3,1300,3.9,1238,6.5
108,서울,2020.4.19,9,0.8,1859,2.9,1712,10.3
108,서울,2020.4.20,2.33,0.1,,0.1,,0.1
108,서울,2020.4.22,2.33,0,,0,,0
108,서울,2020.5.2,0.67,0,,0,,0
108,서울,2020.5.3,1.08,0,,0,,0
108,서울,2020.5.8,6.17,0.5,2238,1.6,2203,2.3
108,서울,2020.5.9,24,1.4,958,4.7,948,24.4
108,서울,2020.5.10,8.42,0.3,305,0.7,230,1.3
108,서울,2020.5.11,3,1.8,2340,3.8,2323,3.4
108,서울,2020.5.12,0.83,0.5,13,0.7,1,0.7
108,서울,2020.5.15,20.75,0.6,919,2.1,838,12
108,서울,2020.5.16,12.67,0.2,,0.5,556,2.5
108,서울,2020.5.17,1,0,,0,,0
108,서울,2020.5.18,7,11.5,1603,19.8,1553,29.8
108,서울,2020.5.19,6.42,3,1029,9.6,949,19
108,서울,2020.5.20,0.58,0,,0,,0
108,서울,2020.5.22,0.5,0,,0,,0
108,서울,2020.5.23,0.67,0,,0,,0
108,서울,2020.5.24,9.75,3.4,545,9.9,544,14.5
108,서울,2020.5.26,2.67,1.3,2023,1.5,1955,1.5
108,서울,2020.5.28,0.25,0,,0,,0
108,서울,2020.5.31,1.92,0.3,2305,1,2245,1
108,서울,2020.6.1,3.75,0.3,-2357,0.3,-2345,0.4
108,서울,2020.6.2,1.83,0.8,1129,1.9,1055,2
108,서울,2020.6.4,6.75,0.1,,0.1,,0.2
108,서울,2020.6.10,6.58,0.6,1935,2.9,2019,6.2
108,서울,2020.6.11,0.42,0,,0.1,,0
108,서울,2020.6.13,0.5,0,,0,,0
108,서울,2020.6.14,3.83,0.4,314,1.1,231,1.1
108,서울,2020.6.19,1.83,0.1,,0.1,,0.1
108,서울,2020.6.23,0.5,0,,0,,0
108,서울,2020.6.24,19.17,2.9,1034,8.5,1105,37.6
108,서울,2020.6.25,15.33,1.1,132,3.5,120,13.3
108,서울,2020.6.26,5.83,0.4,-2356,0.9,-2331,2.1
108,서울,2020.6.27,0.75,0,,0,,0
108,서울,2020.6.29,5.08,2.6,2356,9.6,2331,11.9
108,서울,2020.6.30,18.42,4.7,348,15.9,330,64.7
108,서울,2020.7.1,2.17,0,,0,,0
108,서울,2020.7.3,1.92,0.1,,0.5,2330,0.1
108,서울,2020.7.4,4.83,0.3,20,0.9,36,1.6
108,서울,2020.7.7,1.25,0,,0,,0
108,서울,2020.7.10,4.67,1,819,1.9,800,2.2
108,서울,2020.7.12,5.42,0.3,1702,0.9,1644,2.9
108,서울,2020.7.13,22.92,2.2,2220,6.2,2215,47.6
108,서울,2020.7.14,9.83,1.7,51,5.9,-2331,11.5
108,서울,2020.7.17,0.58,0,,0,,0
108,서울,2020.7.19,5.67,6.6,836,19.3,820,29.1
108,서울,2020.7.20,10.33,0.9,321,1.3,231,3.6
108,서울,2020.7.21,0.83,0,,0,,0
108,서울,2020.7.22,11.17,1.6,819,6.2,758,11.5
108,서울,2020.7.23,22.67,4.5,2028,18.5,1717,103.1
108,서울,2020.7.24,8.25,1.1,933,2.3,855,2.9
108,서울,2020.7.25,0.5,0,,0,,0
108,서울,2020.7.26,0.42,0,,0,,0
108,서울,2020.7.27,16.92,0.5,356,0.6,306,2.2
108,서울,2020.7.28,10.17,0.2,,0.3,1614,0.4
108,서울,2020.7.29,18.17,9.3,903,27.1,902,50.1
108,서울,2020.7.30,5.25,0.1,,0.1,,0.1
108,서울,2020.7.31,2.42,1.2,2355,1.2,2305,1.5
108,서울,2020.8.1,16.5,8.9,1224,23.6,1222,39.1
108,서울,2020.8.2,23.25,11.1,1534,13.8,1533,31.4
108,서울,2020.8.3,19.92,14.9,1920,28.5,836,102.6
108,서울,2020.8.4,11.67,0.9,722,1.8,636,3.9
108,서울,2020.8.5,12.67,7.3,2337,14.4,2325,18.5
108,서울,2020.8.6,12.33,6.8,419,19.9,415,75.7
108,서울,2020.8.7,2.5,0,,0,,0
108,서울,2020.8.8,10.42,1.3,2028,5.9,2026,19.1
108,서울,2020.8.9,20.25,3.9,1107,13.9,1337,50.3
108,서울,2020.8.10,17.67,10,1615,28.6,1556,44.6
108,서울,2020.8.11,10.17,6.3,604,23.6,435,97
108,서울,2020.8.14,2.92,0.4,753,0.4,750,0.4
108,서울,2020.8.15,17.08,13.1,1300,23.7,552,69
108,서울,2020.8.21,4.67,1.6,1247,2.1,1159,2.5
108,서울,2020.8.22,6.25,9.7,1227,23,1211,42.6
108,서울,2020.8.26,4.75,0.4,2310,0.6,2225,0.6
108,서울,2020.8.27,15.08,1.6,635,4.2,632,8.7
108,서울,2020.8.28,9.25,4.7,539,6.7,523,13.6
108,서울,2020.8.29,9.5,3.1,1055,6.5,1052,13.6
108,서울,2020.8.30,11.08,9.9,155,32.5,144,42.5
108,서울,2020.8.31,0.17,0,,0,,0
108,서울,2020.9.1,0.75,0,,0,,0
108,서울,2020.9.2,20.08,6,1746,20,1736,33.3
108,서울,2020.9.3,11,1.3,740,5.1,220,29.8
108,서울,2020.9.6,8.58,1.5,2244,4.1,2240,6.4
108,서울,2020.9.7,24,1.9,827,8.4,1933,61
108,서울,2020.9.8,1,0,,0,,0
108,서울,2020.9.9,4.83,0.9,1416,1.1,1331,1.3
108,서울,2020.9.10,2.25,2.7,511,3.5,431,3.9
108,서울,2020.9.11,7.83,0.4,2353,1.4,2330,1.2
108,서울,2020.9.12,18.58,0.6,138,1.8,121,5.7
108,서울,2020.9.14,0.42,0,,0,,0
108,서울,2020.9.16,5.75,0.2,,0.2,,0.3
108,서울,2020.9.19,1,0.2,,0.2,,0.3
108,서울,2020.9.30,2.67,15.3,1840,34,1824,38.3
108,서울,2020.10.2,0.75,0,,0,,0
108,서울,2020.10.3,1.08,0,,0,,0
108,서울,2020.10.4,3.75,0,,0,,0
108,서울,2020.10.22,1.25,0,,0,,0
108,서울,2020.11.1,7.17,,,,,13.6
108,서울,2020.11.2,2.33,,,,,1.7
108,서울,2020.11.3,0.83,,,,,0.5
108,서울,2020.11.7,0.42,,,,,0.1
108,서울,2020.11.17,2.08,,,,,0.1
108,서울,2020.11.18,10.83,,,,,12.2
108,서울,2020.11.19,14.17,,,,,86.9
108,서울,2020.11.20,4.5,,,,,0
108,서울,2020.11.21,1.67,,,,,0.2
108,서울,2020.11.22,8.83,,,,,4.8
108,서울,2020.11.27,0.17,,,,,0
108,서울,2020.12.10,2.58,,,,,0
108,서울,2020.12.13,7.58,,,,,2.9
108,서울,2020.12.17,1.08,,,,,0
108,서울,2020.12.18,7.58,,,,,0.2
108,서울,2020.12.23,0.25,,,,,0
108,서울,2020.12.27,1.75,,,,,0
108,서울,2020.12.28,1.33,,,,,1.3
108,서울,2020.12.29,6.25,,,,,0.2
108,서울,2020.12.31,0.33,,,,,0
108,서울,2021.1.4,2.33,,,,,0
108,서울,2021.1.5,5.42,,,,,0
108,서울,2021.1.6,5.33,,,,,2.3
108,서울,2021.1.12,7.5,,,,,2.6
108,서울,2021.1.13,0.67,,,,,0
108,서울,2021.1.15,0.42,,,,,0.2
108,서울,2021.1.17,5.25,,,,,0
108,서울,2021.1.18,5.42,,,,,0.3
108,서울,2021.1.21,10.25,,,,,9.2
108,서울,2021.1.22,2,,,,,0.1
108,서울,2021.1.26,6.92,,,,,1.7
108,서울,2021.1.28,1.33,,,,,2
108,서울,2021.1.30,4.5,,,,,0.5
